word,rhyme_unit,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
vain,eɪn,ˈveɪn,-,-,-,-,-
wane,eɪn,ˈweɪn,-,-,-,-,-
abstain,eɪn,æb,ˈsteɪn,-,-,-,-
arraign,eɪn,ə,ˈreɪn,-,-,-,-
campaign,eɪn,kæm,ˈpeɪn,-,-,-,-
complain,eɪn,kəm,ˈpleɪn,-,-,-,-
constrain,eɪn,kən,ˈstreɪn,-,-,-,-
disdain,eɪn,dɪs,ˈdeɪn,-,-,-,-
maintain,eɪn,meɪn,ˈteɪn,-,-,-,-
profane,eɪn,prə,ˈfeɪn,-,-,-,-
appertain,eɪn,ˌæ,pər,ˈteɪn,-,-,-
ascertain,eɪn,ˌæ,sər,ˈteɪn,-,-,-
entertain,eɪn,ˌɛn,tər,ˈteɪn,-,-,-
interchain,eɪn,ˌɪn,tər,ˈtʃeɪn,-,-,-
preordain,eɪn,ˌpri,ɔr,ˈdeɪn,-,-,-
close,oʊz,ˈkloʊz,-,-,-,-,-
doze,oʊz,ˈdoʊz,-,-,-,-,-
froze,oʊz,ˈfroʊz,-,-,-,-,-
pose,oʊz,ˈpoʊz,-,-,-,-,-
prose,oʊz,ˈproʊz,-,-,-,-,-
rose,oʊz,ˈroʊz,-,-,-,-,-
compose,oʊz,kəm,ˈpoʊz,-,-,-,-
depose,oʊz,dɪ,ˈpoʊz,-,-,-,-
disclose,oʊz,dɪs,ˈkloʊz,-,-,-,-
dispose,oʊz,dɪ,ˈspoʊz,-,-,-,-
e-pose,oʊz,ɪk,ˈspoʊz,-,-,-,-
impose,oʊz,ɪm,ˈpoʊz,-,-,-,-
oppose,oʊz,ə,ˈpoʊz,-,-,-,-
suppose,oʊz,sə,ˈpoʊz,-,-,-,-
decompose,oʊz,ˌdiː,kəm,ˈpoʊz,-,-,-
indispose,oʊz,ˌɪn,dɪ,ˈspoʊz,-,-,-
interpose,oʊz,ˌɪn,tər,ˈpoʊz,-,-,-
predispose,oʊz,ˌpriː,dɪ,ˈspoʊz,-,-,-
presuppose,oʊz,ˌpriː,sə,ˈpoʊz,-,-,-
recompose,oʊz,ˌriː,kəm,ˈpoʊz,-,-,-
overe-pose,oʊz,ˌoʊ,vər,ɪk,ˈspoʊz,-,-
superimpose,oʊz,ˌsuː,pər,ɪm,ˈpoʊz,-,-
